chembl_id,smiles,pIC50,n
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,6.105,2
CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,6.445,2
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,6.17,9
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,6.14,3
CHEMBL4303595,O=C1C=Cc2cc(Br)ccc2C1=O,7.1,2
CHEMBL444186,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,5.5,1
CHEMBL55400,Nc1ccc2cc3ccc(N)cc3nc2c1,5.84,4
CHEMBL1886408,CCOC(=O)Cc1ccc(-c2ccccc2)cc1,6.7,1
CHEMBL505670,O=[N+]([O-])c1ccc(Sc2cccc[n+]2[O-])c2nonc12,7.0,1
CHEMBL460499,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,5.74,11
CHEMBL1271993,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,5.64,2
CHEMBL3665060,CN1CCN(C(=O)c2ccc(-c3ccc4c(C=O)c(O)ccc4c3)s2)CC1,5.88,1
CHEMBL1096979,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,6.85,1
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,6.2,10
CHEMBL1422849,CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1,6.82,1
CHEMBL284861,Cn1sc(=O)n(Cc2ccccc2)c1=O,6.225,2
CHEMBL286080,Oc1cc2c(cc1O)C(c1ccccc1)CNCC2,5.55,1
CHEMBL3963349,COC(=O)CC[C@H](NC(=O)[C@H](CC(=O)OC)NC(=O)OCc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)OC)C(=O)CF)C(C)C,8.0,1
CHEMBL3797437,Oc1cc2c(cc1C(c1ccc(C(F)(F)F)cc1)N1CCOCC1)OCO2,6.27,1
CHEMBL289356,Sc1nnc(Nc2ccccc2)s1,6.41,1
CHEMBL1725120,Cc1ccc(C)c(-n2sc3cc(F)ccc3c2=O)c1,7.7,1
CHEMBL1356238,[O-][n+]1ccccc1S,7.3,1
CHEMBL105712,O=C(CCl)c1ccccc1,6.72,1
CHEMBL508112,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,6.8,1
CHEMBL1397952,CCOc1cc(C(Nc2cc(C)ccn2)c2ccc3cccnc3c2O)ccc1OC,6.569,1
CHEMBL192627,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,7.699,1
CHEMBL243652,O=C(CC1Sc2ncnn2C1=O)Nc1ccc(Br)cc1,5.69,1
CHEMBL259018,CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,5.38,1
CHEMBL1271764,CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,5.91,1
CHEMBL449298,Nc1ccc(O)c2ncccc12,5.69,1
CHEMBL566136,CCOC(=O)c1c(N)sc(-c2ccccc2)c1C,5.5,1
CHEMBL1608472,Cc1cc(C)cc(N2C(=O)CC(Sc3nc[nH]n3)C2=O)c1,5.5,1
CHEMBL60718,Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1,5.86,1
CHEMBL1917204,Cc1ccc(-n2sc(=O)n(Cc3ccc(F)cc3)c2=O)cc1,6.73,2
CHEMBL226652,Sc1nnnn1-c1ccccc1,5.63,1
CHEMBL119171,Nc1nc(S)c2ncn(C3OC(CO)C(O)C3O)c2n1,5.97,1
CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,5.34,1
CHEMBL4303154,C/C=C1\C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1,5.47,1
CHEMBL4303503,C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@@H]2[C@@]12CO[C@]3(O)C[C@@H]1C(C)(C)CC[C@@H]2O,5.59,1
CHEMBL2368547,O=C(O)c1cc(O)c2c(c1)[C@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,5.8,1
CHEMBL1200930,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[n-]2)c1C.[Na+],6.13,1
